bank,model,f1,auc,recall,precision
Bank A,Federated,0.5109489051094891,0.8984469488485263,0.5363984674329502,0.4878048780487805
Bank A,Centralized,0.5235772357723577,0.8969614061712363,0.6168582375478927,0.4548022598870056
Bank B,Federated,0.5355521936459909,0.9078723689408048,0.6704545454545454,0.44584382871536526
Bank B,Centralized,0.5645933014354066,0.9109037300378084,0.6704545454545454,0.48760330578512395
Bank C,Federated,0.5836065573770491,0.9115611934799098,0.6289752650176679,0.5443425076452599
Bank C,Centralized,0.590027700831025,0.911099788052255,0.7526501766784452,0.48519362186788156
